ALGORITMA: FCFS
--------------------------------------------------
a) Zaman Tablosu
Process	Baslangic	Bitis	Burst
[P102]	1052,0		1054,0	2
[P103]	1054,0		1057,0	3
[P104]	1057,0		1061,0	4
[P105]	1061,0		1066,0	5
[P106]	1066,0		1072,0	6
[P107]	1072,0		1079,0	7
[P108]	1079,0		1087,0	8
[P109]	1087,0		1096,0	9
[P110]	1096,0		1106,0	10
[P111]	1106,0		1117,0	11
[P112]	1117,0		1129,0	12
[P113]	1129,0		1142,0	13
[P114]	1142,0		1156,0	14
[P115]	1156,0		1171,0	15
[P116]	1171,0		1187,0	16
[P117]	1187,0		1204,0	17
[P118]	1204,0		1222,0	18
[P119]	1222,0		1241,0	19
[P120]	1241,0		1261,0	20
[P121]	1261,0		1262,0	1
[P122]	1262,0		1264,0	2
[P123]	1264,0		1267,0	3
[P124]	1267,0		1271,0	4
[P125]	1271,0		1276,0	5
[P126]	1276,0		1282,0	6
[P127]	1282,0		1289,0	7
[P128]	1289,0		1297,0	8
[P129]	1297,0		1306,0	9
[P130]	1306,0		1316,0	10
[P131]	1316,0		1327,0	11
[P132]	1327,0		1339,0	12
[P133]	1339,0		1352,0	13
[P134]	1352,0		1366,0	14
[P135]	1366,0		1381,0	15
[P136]	1381,0		1397,0	16
[P137]	1397,0		1414,0	17
[P138]	1414,0		1432,0	18
[P139]	1432,0		1451,0	19
[P140]	1451,0		1471,0	20
[P141]	1471,0		1472,0	1
[P142]	1472,0		1474,0	2
[P143]	1474,0		1477,0	3
[P144]	1477,0		1481,0	4
[P145]	1481,0		1486,0	5
[P146]	1486,0		1492,0	6
[P147]	1492,0		1499,0	7
[P148]	1499,0		1507,0	8
[P149]	1507,0		1516,0	9
[P150]	1516,0		1526,0	10
[P151]	1526,0		1537,0	11
[P152]	1537,0		1549,0	12
[P153]	1549,0		1562,0	13
[P154]	1562,0		1576,0	14
[P155]	1576,0		1591,0	15
[P156]	1591,0		1607,0	16
[P157]	1607,0		1624,0	17
[P158]	1624,0		1642,0	18
[P159]	1642,0		1661,0	19
[P160]	1661,0		1681,0	20
[P161]	1681,0		1682,0	1
[P162]	1682,0		1684,0	2
[P163]	1684,0		1687,0	3
[P164]	1687,0		1691,0	4
[P165]	1691,0		1696,0	5
[P166]	1696,0		1702,0	6
[P167]	1702,0		1709,0	7
[P168]	1709,0		1717,0	8
[P169]	1717,0		1726,0	9
[P170]	1726,0		1736,0	10
[P171]	1736,0		1747,0	11
[P172]	1747,0		1759,0	12
[P173]	1759,0		1772,0	13
[P174]	1772,0		1786,0	14
[P175]	1786,0		1801,0	15
[P176]	1801,0		1817,0	16
[P177]	1817,0		1834,0	17
[P178]	1834,0		1852,0	18
[P179]	1852,0		1871,0	19
[P180]	1871,0		1891,0	20
[P181]	1891,0		1892,0	1
[P182]	1892,0		1894,0	2
[P183]	1894,0		1897,0	3
[P184]	1897,0		1901,0	4
[P185]	1901,0		1906,0	5
[P186]	1906,0		1912,0	6
[P187]	1912,0		1919,0	7
[P188]	1919,0		1927,0	8
[P189]	1927,0		1936,0	9
[P190]	1936,0		1946,0	10
[P191]	1946,0		1957,0	11
[P192]	1957,0		1969,0	12
[P193]	1969,0		1982,0	13
[P194]	1982,0		1996,0	14
[P195]	1996,0		2011,0	15
[P196]	2011,0		2027,0	16
[P197]	2027,0		2044,0	17
[P198]	2044,0		2062,0	18
[P199]	2062,0		2081,0	19
[P200]	2081,0		2101,0	20
--------------------------------------------------
b) Bekleme Suresi (WT) -> Ort: 813,4950, Max: 1683,0000
c) Turnaround Time (TAT) -> Ort: 823,9950, Max: 1703,0000
d) Throughput -> T=50:9, T=100:13, T=150:16, T=200:19
e) CPU Verimliligi: %99,95
f) Toplam Baglam Degistirme (CS): 0
